cnty,year,legid,ElectionTotalVotes,TotalSeats,party,votes,seats
Turkey,2002,1,31642818,550,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",6139584,178
Turkey,2002,1,31642818,550,"P6-(Bagimsiz Turkiye Partisi) [BTP]",150854,0
Turkey,2002,1,31642818,550,"P4-(Buyuk Birlik Partisi) [BBP]",323026,0
Turkey,2002,1,31642818,550,P43-[YPT],366589,0
Turkey,2002,1,31642818,550,"P42-Yurt Partisi [YP]",295630,0
Turkey,2002,1,31642818,550,"P38-Turkiye Komunist Partisi (Communist Party) [TKP]",59427,0
Turkey,2002,1,31642818,550,"P36-Felicity Party (Saadet Partisi) [SP]",789692,0
Turkey,2002,1,31642818,550,"P32-Freedom and Solidarity Party (Ozgurluk ve Dayanisma Partisi) [ODP]",106474,0
Turkey,2002,1,31642818,550,"P30-National Party (Millet Partisi) [MP]",68430,0
Turkey,2002,1,31642818,550,"P2-Motherland Party (Anavatan Partisi) [ANAP]",1628407,0
Turkey,2002,1,31642818,550,"P29-Nationalist Movement Party (Milliyetci Hareket Partisi) [MHP]",2647155,0
Turkey,2002,1,31642818,550,"P26-Liberal Democratic Party (Liberal Demokrat Party) [LDP]",89663,0
Turkey,2002,1,31642818,550,"P24-Worker's Party (Isci Partisi) [IP]",160323,0
Turkey,2002,1,31642818,550,"P23-Independents (Bagimsizlar)",314251,9
Turkey,2002,1,31642818,550,"P1-Justice and Development Party (Adalet ve Kalkinma Partisi) [AKP]",10845754,363
Turkey,2002,1,31642818,550,"P19-Young Party (Genc Parti) [GP])",2292005,0
Turkey,2002,1,31642818,550,"P16-True Path Party (Dogru Yol Partisi) [DYP]",3014054,0
Turkey,2002,1,31642818,550,"P11-People's Democracy Party [DEHAP]",1965516,0
Turkey,2002,1,31642818,550,"P14-Democratic Left Party (Demokratik Sol Parti) [DSP]",385984,0
Turkey,1999,1,31249710,550,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",2720139,0
Turkey,1999,1,31249710,550,"P5-(Baris Partisi (Peace Party) [BP]",79040,0
Turkey,1999,1,31249710,550,"P4-(Buyuk Birlik Partisi) [BBP]",457050,0
Turkey,1999,1,31249710,550,"P41-Rebirth Party (Yeniden Dogus Partisi) [YDP]",44833,0
Turkey,1999,1,31249710,550,"P35-Party for Socialist Power (Sosyalist Iktidar Partisi) [SIP]",37706,0
Turkey,1999,1,31249710,550,"P32-Freedom and Solidarity Party (Ozgurluk ve Dayanisma Partisi) [ODP]",249318,0
Turkey,1999,1,31249710,550,"P30-National Party (Millet Partisi) [MP]",79433,0
Turkey,1999,1,31249710,550,"P2-Motherland Party (Anavatan Partisi) [ANAP]",4131150,86
Turkey,1999,1,31249710,550,"P29-Nationalist Movement Party (Milliyetci Hareket Partisi) [MHP]",5618792,129
Turkey,1999,1,31249710,550,"P26-Liberal Democratic Party (Liberal Demokrat Party) [LDP]",127268,0
Turkey,1999,1,31249710,550,"P24-Worker's Party (Isci Partisi) [IP]",57687,0
Turkey,1999,1,31249710,550,"P23-Independents (Bagimsizlar)",270265,3
Turkey,1999,1,31249710,550,"P20-Democratic People's Party (Halkin Demokrasi Partisi) [HADEP]",1483273,0
Turkey,1999,1,31249710,550,"P18-Fazilet Partisi [FP])",4820335,111
Turkey,1999,1,31249710,550,"P17-Emegin Partisi [EMEP]",51827,0
Turkey,1999,1,31249710,550,"P16-True Path Party (Dogru Yol Partisi) [DYP]",3748517,85
Turkey,1999,1,31249710,550,P15-[DTP],179989,0
Turkey,1999,1,31249710,550,"P14-Democratic Left Party (Demokratik Sol Parti) [DSP]",6939016,136
Turkey,1999,1,31249710,550,"P13-Democrat Party (Demokrat Partisi) [DP]",92189,0
Turkey,1999,1,31249710,550,"P12-Changing Turkey Party (Degisen Turkiye Partisi) [DEPAR]",37399,0
Turkey,1999,1,31249710,550,"P10-Democracy and Peace Party [DBP]",24484,0
Turkey,1995,1,28126993,0,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",3011076,0
Turkey,1995,1,28126993,0,"P42-Yurt Partisi [YP]",36853,0
Turkey,1995,1,28126993,0,"P41-Rebirth Party (Yeniden Dogus Partisi) [YDP]",95484,0
Turkey,1995,1,28126993,0,P40-[YDH],133889,0
Turkey,1995,1,28126993,0,P33-[RP],6012450,0
Turkey,1995,1,28126993,0,"P30-National Party (Millet Partisi) [MP]",127630,0
Turkey,1995,1,28126993,0,"P2-Motherland Party (Anavatan Partisi) [ANAP]",5527288,0
Turkey,1995,1,28126993,0,"P29-Nationalist Movement Party (Milliyetci Hareket Partisi) [MHP]",2301343,0
Turkey,1995,1,28126993,0,P25-[LAR],133895,0
Turkey,1995,1,28126993,0,"P24-Worker's Party (Isci Partisi) [IP]",61428,0
Turkey,1995,1,28126993,0,"P20-Democratic People's Party (Halkin Demokrasi Partisi) [HADEP]",1171623,0
Turkey,1995,1,28126993,0,"P16-True Path Party (Dogru Yol Partisi) [DYP]",5396009,0
Turkey,1995,1,28126993,0,"P14-Democratic Left Party (Demokratik Sol Parti) [DSP]",4118025,0
Turkey,1991,1,24416666,0,"P36-Felicity Party (Saadet Partisi) [SP]",704347,0
Turkey,1991,1,24416666,0,"P34-Social Democratic Populist Party (Sosyal Demokrat Halkci Parti) [SHP]",4458616,0
Turkey,1991,1,24416666,0,P33-[RP],4121355,0
Turkey,1991,1,24416666,0,"P2-Motherland Party (Anavatan Partisi) [ANAP]",5862623,0
Turkey,1991,1,24416666,0,P25-[LAR],32721,0
Turkey,1991,1,24416666,0,"P21-Populist Party [HP]",11977,0
Turkey,1991,1,24416666,0,"P16-True Path Party (Dogru Yol Partisi) [DYP]",6600726,0
Turkey,1991,1,24416666,0,"P14-Democratic Left Party (Demokratik Sol Parti) [DSP]",2624301,0
Turkey,1987,1,23971629,0,"P34-Social Democratic Populist Party (Sosyal Demokrat Halkci Parti) [SHP]",5931000,0
Turkey,1987,1,23971629,0,P33-[RP],1717425,0
Turkey,1987,1,23971629,0,"P2-Motherland Party (Anavatan Partisi) [ANAP]",8704335,0
Turkey,1987,1,23971629,0,"P27-Nationalist Labor Party (Milliyetci Calisma Partisi) [MCP]",701538,0
Turkey,1987,1,23971629,0,P25-[LAR],89421,0
Turkey,1987,1,23971629,0,P22-[IDP],196272,0
Turkey,1987,1,23971629,0,"P16-True Path Party (Dogru Yol Partisi) [DYP]",4587062,0
Turkey,1987,1,23971629,0,"P14-Democratic Left Party (Demokratik Sol Parti) [DSP]",2044576,0
Turkey,1983,1,17351520,0,"P2-Motherland Party (Anavatan Partisi) [ANAP]",7833148,0
Turkey,1983,1,17351520,0,"P28-Nationalist Democracy Party (Milliyetci Demokrasi Partisi) [MDP])",4036970,0
Turkey,1983,1,17351520,0,P25-[LAR],195588,0
Turkey,1983,1,17351520,0,"P21-Populist Party [HP]",5285814,0
Turkey,1977,1,14826729,0,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",6136171,0
Turkey,1977,1,14826729,0,P7-[CGP],277713,0
Turkey,1977,1,14826729,0,"P3-(Anayol Partisi) [AP]",5468202,0
Turkey,1977,1,14826729,0,P39-[TIP],20565,0
Turkey,1977,1,14826729,0,P37-[TBP],58540,0
Turkey,1977,1,14826729,0,"P31-National Salvation Party (Milli Selamet Partisi) [MSP]",1269918,0
Turkey,1977,1,14826729,0,"P29-Nationalist Movement Party (Milliyetci Hareket Partisi) [MHP]",951544,0
Turkey,1977,1,14826729,0,"P23-Independents (Bagimsizlar)",369592,0
Turkey,1977,1,14826729,0,"P13-Democrat Party (Demokrat Partisi) [DP]",274484,0
Turkey,1973,1,10723253,0,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",3570223,0
Turkey,1973,1,10723253,0,P7-[CGP],564343,0
Turkey,1973,1,10723253,0,"P3-(Anayol Partisi) [AP]",3197897,0
Turkey,1973,1,10723253,0,P37-[TBP],121759,0
Turkey,1973,1,10723253,0,"P31-National Salvation Party (Milli Selamet Partisi) [MSP]",1265726,0
Turkey,1973,1,10723253,0,"P30-National Party (Millet Partisi) [MP]",62377,0
Turkey,1973,1,10723253,0,"P29-Nationalist Movement Party (Milliyetci Hareket Partisi) [MHP]",362208,0
Turkey,1973,1,10723253,0,"P23-Independents (Bagimsizlar)",303218,0
Turkey,1973,1,10723253,0,"P13-Democrat Party (Demokrat Partisi) [DP]",1275502,0
Turkey,1969,1,9090168,0,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",2487006,0
Turkey,1969,1,9090168,0,P7-[CGP],598017,0
Turkey,1969,1,9090168,0,P43-[YPT],197398,0
Turkey,1969,1,9090168,0,"P3-(Anayol Partisi) [AP]",4230073,0
Turkey,1969,1,9090168,0,P39-[TIP],243631,0
Turkey,1969,1,9090168,0,P37-[TBP],254695,0
Turkey,1969,1,9090168,0,"P30-National Party (Millet Partisi) [MP]",293939,0
Turkey,1969,1,9090168,0,"P29-Nationalist Movement Party (Milliyetci Hareket Partisi) [MHP]",274283,0
Turkey,1969,1,9090168,0,"P23-Independents (Bagimsizlar)",511126,0
Turkey,1965,1,9307576,0,P9-[CKMP],208696,0
Turkey,1965,1,9307576,0,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",2675785,0
Turkey,1965,1,9307576,0,P43-[YPT],346210,0
Turkey,1965,1,9307576,0,"P3-(Anayol Partisi) [AP]",4921181,0
Turkey,1965,1,9307576,0,P39-[TIP],276405,0
Turkey,1965,1,9307576,0,"P30-National Party (Millet Partisi) [MP]",582704,0
Turkey,1965,1,9307576,0,"P23-Independents (Bagimsizlar)",296595,0
Turkey,1961,1,10141253,0,P9-[CKMP],1415400,0
Turkey,1961,1,10141253,0,"P8-Republican People's Party (Cumhuriyetci Halk Partisi) [CHP])",3724752,0
Turkey,1961,1,10141253,0,P43-[YPT],1391934,0
Turkey,1961,1,10141253,0,"P3-(Anayol Partisi) [AP]",3527435,0
Turkey,1961,1,10141253,0,"P23-Independents (Bagimsizlar)",81732,0
